# frozen23 exact hunt-sufficient fixtures
# nonce	classical_faults	clean_phase_faults	sha256(sorted newline-delimited shot indices)	complete_sorted_set
251000962439	22	2	832c1a0b584cb2775f6913bf3b950f36d28f51f80ffaa237f4ad539ccf210f53	{4388,4629}
216979462201002	18	2	7dad8789436d3405f8eacaf50894b9d85b197ebfad1c8a09dc014dc050bc17ac	{3614,7610}
236196892829662	16	4	9c5be7f27c193b0bbff6615de4e60a3b29d9bef18791aa006b31751b7c604a8c	{3783,3784,7412,8286}
271225631924494	6	2	27135e258699aaf887655dfe3c2bc53f928ecc85c3d9782f09bb248e6192933f	{1120,8412}
12909430816056	18	5	d4f9276aa2978fbeae33d9dccf9dca6ba2b1be41525a7a644f97b337fe1798c9	{156,4108,6803,7186,8754}
65511261373299	9	2	9e69bc9866a74fa4462af1dd869d6fb8f7b0015de86cf1e8649f9221fffaa4b2	{812,4336}
248914870509046	19	5	c536655341920dcaf5d5afaaeef4763d47bb7758a3579ded6d8c05cc035d3549	{1099,1875,3702,8078,8333}
200464614537294	16	7	bdb7cb62f817a84dadf9eef19fd1dedc0d48bfb33bee7d823b2e9802ecfb9ecf	{460,803,1136,5033,5798,7417,7901}
269472481077161	14	8	89797c6fd324aa38be8cb0585e8b8a23f15327c0f0d33bb6e2a38bea71d354c6	{819,1169,1229,1803,2744,4863,7261,7876}
107056343334753	10	2	d3b551f43c53bcf37f014a112a7d1718afb21ce669586369af8496d1fdce6cf8	{132,3756}
109186235979289	14	2	28bbad368227327fe0bd80c7e49cae1702dffd4d7a8bf6b02efcc2651ff51f8b	{3788,5631}
12679622957485	11	2	79fdd1c2558b527a19573df51dbd764f55adff7b8542b0a73ba0454b9d257622	{4881,6112}
153431043467723	19	3	a0d2c9f2cbf96b36975265531badbeb90e30cc2e7160ef24dd625e0c03f40d28	{2765,2865,4591}
30329995037154	15	5	9073e11dbe184c5b3635e5a2e7503ce9b8b507058d8de6f64977437baed57dd6	{1470,3621,4493,6817,7016}
63846899198573	11	3	136c39ae1b7feb829ccd906a822bbd5f16df6409b86cda6a6003e170c5a611b3	{550,1425,3768}
71599102709711	13	4	f0a2cc9e990eaf555de13c05c068eec2750cbc3e7a27d1d322480d9738b5f9cf	{2531,6710,8128,8999}
205769309325701	19	3	5db4a8b021847aff9cc17c1245b8e320496def8e6643b210707af76edfc53e10	{1153,2450,5456}
236213025161514	15	5	b4561b7fad456fe1d173f37120848d763cbedd4ff2a26a144d1e673949e7e67d	{339,3800,4260,6507,7787}
117850942287407	9	4	65b31ded38da0c83abeaf2e8a8a37298bddf44d5334401574b08e19ae6067564	{1799,3746,4246,6008}
56005648468635	17	1	9e0036efba92d26467b2abddb446d9f92941d6a3ad33a623de8d083c4195b444	{2057}
151276714938924	19	7	ec26cff16477009c4075ffed8d2fd025074409f778f026859247fc91e1569b3f	{2087,2299,3652,6107,6110,8049,8615}
227714064851892	13	9	a3777dcec1d533a3158d463b10c2f7829a37a82050303837a6bb4176bfbacbf1	{931,1165,2440,3439,6238,6395,6857,7466,8701}
100000035106674	0	2	d79ec25240887f271ff800b107813e8cf6460d36b5fa7a0e1307821f74790a2d	{1753,5833}
